"","x","y","sci.name","mod","climate_proj","ToE"
"348",-67.625,43.375,"Sebastes fasciatus","HAD","2-6",2084
"349",-67.625,43.375,"Sebastes fasciatus","HAD","8-5",2064
"350",-67.625,43.375,"Sebastes fasciatus","IPSL","2-6",2061
"351",-67.625,43.375,"Sebastes fasciatus","IPSL","8-5",2093
"352",-67.625,43.375,"Squalus acanthias","AWI","2-6",2040
"353",-67.625,43.375,"Squalus acanthias","AWI","8-5",2041
"354",-67.625,43.375,"Squalus acanthias","CNRM","2-6",2019
"355",-67.625,43.375,"Squalus acanthias","CNRM","8-5",2039
"356",-67.625,43.375,"Squalus acanthias","GFDL","8-5",2019
"357",-67.625,43.375,"Squalus acanthias","HAD","2-6",2035
"358",-67.625,43.375,"Squalus acanthias","HAD","8-5",2027
"359",-67.625,43.375,"Squalus acanthias","IPSL","2-6",2019
"360",-67.625,43.375,"Squalus acanthias","IPSL","8-5",2022
"361",-67.625,43.375,"Urophycis tenuis","AWI","2-6",2099
"362",-67.625,43.375,"Urophycis tenuis","AWI","8-5",2080
"363",-67.625,43.375,"Urophycis tenuis","CNRM","2-6",2047
"364",-67.625,43.375,"Urophycis tenuis","CNRM","8-5",2024
"365",-67.625,43.375,"Urophycis tenuis","GFDL","8-5",2029
"366",-67.625,43.375,"Urophycis tenuis","HAD","2-6",2046
"367",-67.625,43.375,"Urophycis tenuis","HAD","8-5",2032
"368",-67.625,43.375,"Urophycis tenuis","IPSL","2-6",2057
"369",-67.625,43.375,"Urophycis tenuis","IPSL","8-5",2055
"370",-67.375,42.375,"Amblyraja radiata","AWI","2-6",2015
"371",-67.375,42.375,"Amblyraja radiata","AWI","8-5",2078
"372",-67.375,42.375,"Amblyraja radiata","CNRM","2-6",2079
"373",-67.375,42.375,"Amblyraja radiata","CNRM","8-5",2016
"374",-67.375,42.375,"Amblyraja radiata","GFDL","8-5",2015
"375",-67.375,42.375,"Amblyraja radiata","HAD","2-6",2068
"376",-67.375,42.375,"Amblyraja radiata","HAD","8-5",2021
"377",-67.375,42.375,"Amblyraja radiata","IPSL","2-6",2028
"378",-67.375,42.375,"Amblyraja radiata","IPSL","8-5",2015
"379",-67.375,42.375,"Anarhichas lupus","AWI","2-6",2018
"380",-67.375,42.375,"Anarhichas lupus","AWI","8-5",2021
"381",-67.375,42.375,"Anarhichas lupus","CNRM","2-6",2021
"382",-67.375,42.375,"Anarhichas lupus","CNRM","8-5",2015
"383",-67.375,42.375,"Anarhichas lupus","GFDL","8-5",2078
"384",-67.375,42.375,"Anarhichas lupus","HAD","2-6",2030
"385",-67.375,42.375,"Anarhichas lupus","HAD","8-5",2047
"386",-67.375,42.375,"Anarhichas lupus","IPSL","2-6",2053
"387",-67.375,42.375,"Anarhichas lupus","IPSL","8-5",2076
"388",-67.375,42.375,"Brosme brosme","AWI","2-6",2020
"389",-67.375,42.375,"Brosme brosme","AWI","8-5",2034
"390",-67.375,42.375,"Brosme brosme","CNRM","2-6",2028
"391",-67.375,42.375,"Brosme brosme","CNRM","8-5",2034
"392",-67.375,42.375,"Brosme brosme","GFDL","8-5",2082
"393",-67.375,42.375,"Brosme brosme","HAD","2-6",2016
"394",-67.375,42.375,"Brosme brosme","HAD","8-5",2084
"395",-67.375,42.375,"Brosme brosme","IPSL","2-6",2055
"396",-67.375,42.375,"Brosme brosme","IPSL","8-5",2063
