"","mod","climate_proj","year","mean.temp","temp.sd"
"404","HAD","8-5",2074,13.1243772169342,5.77264969486957
"405","HAD","8-5",2075,13.8236199921689,6.6545671874536
"406","HAD","8-5",2076,14.5330653137063,5.70032528759387
"407","HAD","8-5",2077,14.1411348063611,5.88610704579325
"408","HAD","8-5",2078,13.5489870481982,6.10051638677896
"409","HAD","8-5",2079,14.0262293367602,6.00882386391878
"410","HAD","8-5",2080,14.3195671529272,6.35736664345161
"411","HAD","8-5",2081,13.5339547645893,6.14409797526348
"412","HAD","8-5",2082,13.3788087038171,6.29649179450128
"413","HAD","8-5",2083,13.7434776739138,5.5767346275298
"414","HAD","8-5",2084,12.4531278131054,5.93213587454258
"415","HAD","8-5",2085,15.0895343379311,6.38181028555626
"416","HAD","8-5",2086,15.0563546893526,5.99508468833367
"417","HAD","8-5",2087,13.7040629104057,6.22241665239435
"418","HAD","8-5",2088,14.942097044665,6.42461701286672
"419","HAD","8-5",2089,14.7830524912184,5.97213311865456
"420","HAD","8-5",2090,15.5733203825287,6.33876030111072
"421","HAD","8-5",2091,14.8181615834816,6.09192761349447
"422","HAD","8-5",2092,14.317247302174,6.23606350721931
"423","HAD","8-5",2093,14.8531865116262,6.18984754358812
"424","HAD","8-5",2094,16.0675008847482,5.79849555459268
"425","HAD","8-5",2095,16.2452382041678,6.29102336974129
"426","HAD","8-5",2096,16.0922239626037,6.02384762443613
"427","HAD","8-5",2097,15.9635829660971,6.01324310447266
"428","HAD","8-5",2098,15.729224044469,5.73923862724581
"429","HAD","8-5",2099,15.4837850301519,5.89726371654009
"430","HAD","8-5",2100,16.6194863264809,5.84782700297678
"431","IPSL","2-6",2015,8.98099667284194,5.9567594167114
"432","IPSL","2-6",2016,8.54075486660556,6.10038781769129
"433","IPSL","2-6",2017,8.64387534968219,5.90035558618534
"434","IPSL","2-6",2018,9.31541670054604,5.37924985345557
"435","IPSL","2-6",2019,8.69147315733822,6.03357890023545
"436","IPSL","2-6",2020,9.45455996903184,5.52745604683029
"437","IPSL","2-6",2021,9.28320276502236,5.59574000802442
"438","IPSL","2-6",2022,8.80775638963669,4.95137362202273
"439","IPSL","2-6",2023,8.48699452854683,5.93174126155365
"440","IPSL","2-6",2024,8.7270489071844,5.79718471105797
"441","IPSL","2-6",2025,9.03448713638218,5.66917887304226
"442","IPSL","2-6",2026,9.36404116954483,5.78131220349051
"443","IPSL","2-6",2027,10.5700881768256,5.34787273506587
"444","IPSL","2-6",2028,9.01271448413476,5.61752514959482
"445","IPSL","2-6",2029,9.07382450220812,5.74022114299025
"446","IPSL","2-6",2030,8.54946485521563,5.86641239794755
"447","IPSL","2-6",2031,9.58210882108421,5.61330032360346
"448","IPSL","2-6",2032,9.28917075546712,5.33705114864233
"449","IPSL","2-6",2033,9.25869924705592,5.25626383064846
"450","IPSL","2-6",2034,9.60264121943237,5.54056716890536
"451","IPSL","2-6",2035,9.05972386787884,5.69808986227869
"452","IPSL","2-6",2036,9.22906953471385,5.57558475418207
"453","IPSL","2-6",2037,9.33393342841343,5.25898637434256
"454","IPSL","2-6",2038,10.1973434316696,5.88792734572114
"455","IPSL","2-6",2039,9.80246023988091,5.76447997295274
"456","IPSL","2-6",2040,9.36034265539955,5.67646971908101
