"","climate_proj","mod","NAME","species","ToE","count"
"1706","8.5","Ensemble","Horse Mussel Reefs","Calanus finmarchicus",2073,1
"1707","8.5","Ensemble","Horse Mussel Reefs","Gadus morhua",2061,1
"1708","8.5","Ensemble","Horse Mussel Reefs","Leucoraja ocellata",2089,1
"1709","8.5","Ensemble","Horse Mussel Reefs","Melanogrammus aeglefinus",2061,1
"1710","8.5","Ensemble","Horse Mussel Reefs","Pollachius virens",2047,1
"1711","8.5","Ensemble","Horse Mussel Reefs","Urophycis tenuis",2089,1
"1712","8.5","Ensemble","Jordan Basin Conservation Area","Amblyraja radiata",2031,1
"1713","8.5","Ensemble","Jordan Basin Conservation Area","Anarhichas lupus",2015,1
"1714","8.5","Ensemble","Jordan Basin Conservation Area","Brosme brosme",2045,1
"1715","8.5","Ensemble","Jordan Basin Conservation Area","Calanus finmarchicus",2073,1
"1716","8.5","Ensemble","Jordan Basin Conservation Area","Gadus morhua",2061,1
"1717","8.5","Ensemble","Jordan Basin Conservation Area","Glyptocephalus cynoglossus",2055,1
"1718","8.5","Ensemble","Jordan Basin Conservation Area","Hippoglossoides platessoides",2039,1
"1719","8.5","Ensemble","Jordan Basin Conservation Area","Hippoglossus hippoglossus",2023,1
"1720","8.5","Ensemble","Jordan Basin Conservation Area","Malacoraja senta",2039,1
"1721","8.5","Ensemble","Jordan Basin Conservation Area","Melanogrammus aeglefinus",2061,1
"1722","8.5","Ensemble","Jordan Basin Conservation Area","Pandalus borealis",2073,1
"1723","8.5","Ensemble","Jordan Basin Conservation Area","Pollachius virens",2048,1
"1724","8.5","Ensemble","Jordan Basin Conservation Area","Sebastes fasciatus",2046,1
"1725","8.5","Ensemble","Jordan Basin Conservation Area","Urophycis tenuis",2088,1
"1726","8.5","Ensemble","LaHave Basin","Amblyraja radiata",2062,1
"1727","8.5","Ensemble","LaHave Basin","Anarhichas lupus",2048,1
"1728","8.5","Ensemble","LaHave Basin","Brosme brosme",2073,1
"1729","8.5","Ensemble","LaHave Basin","Calanus finmarchicus",2093,1
"1730","8.5","Ensemble","LaHave Basin","Chionoecetes opilio",2039,1
"1731","8.5","Ensemble","LaHave Basin","Gadus morhua",2088,1
"1732","8.5","Ensemble","LaHave Basin","Glyptocephalus cynoglossus",2077,1
"1733","8.5","Ensemble","LaHave Basin","Hippoglossoides platessoides",2064,1
"1734","8.5","Ensemble","LaHave Basin","Hippoglossus hippoglossus",2061,1
"1735","8.5","Ensemble","LaHave Basin","Malacoraja senta",2064,1
